symbol,name,market_cap,avg_dollar_volume,avg_volume,current_price,dividend_yield,trailing_annual_dividend,consecutive_dividend_years,sector,industry,exchange,currency
D,"Dominion Energy, Inc.",53600137216,306266944.61,4879193,62.77,4.25,2.67,9,Utilities,Utilities - Regulated Electric,NYQ,USD
MET,"MetLife, Inc.",50914394112,268454577.6,3506460,76.56,2.96,2.225,9,Financial Services,Insurance - Life,NYQ,USD
CAH,"Cardinal Health, Inc.",50431922176,510767605.79999995,2406330,212.26,0.96,2.033,9,Healthcare,Medical Distribution,NYQ,USD
XEL,Xcel Energy Inc.,48571330560,407899078.65,4967715,82.11,2.78,2.26,9,Utilities,Utilities - Regulated Electric,NMS,USD
ROP,"Roper Technologies, Inc.",48029974528,438815871.54,983407,446.22,0.82,3.3,9,Technology,Software - Application,NMS,USD
EXC,Exelon Corporation,47590600704,322891731.91999996,6852541,47.12,3.4,1.58,9,Utilities,Utilities - Regulated Electric,NMS,USD
FAST,Fastenal Company,46380646400,266131970.0,6587425,40.4,2.18,0.85,9,Industrials,Industrial Distribution,NMS,USD
AIG,"American International Group, Inc.",42192932864,338256262.4,4441390,76.16,2.36,1.7,9,Financial Services,Insurance - Diversified,NYQ,USD
OXY,Occidental Petroleum Corporation,41378836480,428253504.0,10196512,42.0,2.29,0.94,9,Energy,Oil & Gas E&P,NYQ,USD
TGT,Target Corporation,41177649152,731894242.4000001,8076520,90.62,5.03,4.5,9,Consumer Defensive,Discount Stores,NYQ,USD
PRU,"Prudential Financial, Inc.",38097821696,176117337.5,1626950,108.25,4.99,5.35,9,Financial Services,Insurance - Life,NYQ,USD
NUE,Nucor Corporation,36500668416,254656566.57000002,1596693,159.49,1.38,2.2,9,Basic Materials,Steel,NYQ,USD
SYY,Sysco Corporation,36489211904,232013455.20000002,3044796,76.2,2.83,2.1,9,Consumer Defensive,Food Distribution,NYQ,USD
WEC,"WEC Energy Group, Inc.",36455727104,240456495.44,2145592,112.07,3.19,3.513,9,Utilities,Utilities - Regulated Electric,NYQ,USD
ED,"Consolidated Edison, Inc.",36223500288,208323072.88,2075758,100.36,3.39,3.38,9,Utilities,Utilities - Regulated Electric,NYQ,USD
KMB,Kimberly-Clark Corporation,36212391936,482577307.52000004,4422446,109.12,4.62,5.0,9,Consumer Defensive,Household & Personal Products,NMS,USD
MTB,M&T Bank Corporation,29725546496,212076848.66,1114903,190.22,3.15,5.55,9,Financial Services,Banks - Regional,NYQ,USD
FITB,Fifth Third Bancorp,28729006080,312986533.90000004,7201715,43.46,3.68,1.51,9,Financial Services,Banks - Regional,NMS,USD
ATO,Atmos Energy Corporation,28517855232,164761679.34,934182,176.37,2.27,3.48,9,Utilities,Utilities - Regulated Gas,NYQ,USD
BRO,"Brown & Brown, Inc.",27460474880,224517610.38000003,2791466,80.43,0.82,0.6,9,Financial Services,Insurance Brokers,NYQ,USD
CINF,Cincinnati Financial Corporation,26207123456,85409394.47,509633,167.59,2.08,3.42,9,Financial Services,Insurance - Property & Casualty,NMS,USD
HBAN,Huntington Bancshares Incorporated,25548468224,516056924.20000005,31659934,16.3,3.8,0.62,9,Financial Services,Banks - Regional,NMS,USD
DOV,Dover Corporation,25411747840,212712556.8,1148060,185.28,1.12,2.06,9,Industrials,Specialty Industrial Machinery,NYQ,USD
CFG,"Citizens Financial Group, Inc.",23335979008,240780976.5,4450665,54.1,3.4,1.68,9,Financial Services,Banks - Regional,NYQ,USD
RF,Regions Financial Corporation,22709248000,644801912.6,25336028,25.45,4.17,1.015,9,Financial Services,Banks - Regional,NYQ,USD
PPG,"PPG Industries, Inc.",22579027968,196115314.76000002,1960369,100.04,2.84,2.75,9,Basic Materials,Specialty Chemicals,NYQ,USD
TROW,"T. Rowe Price Group, Inc.",22494445568,166326343.23999998,1624598,102.38,4.96,5.05,9,Financial Services,Asset Management,NMS,USD
KEY,KeyCorp,20153960448,424875388.4,23116180,18.38,4.46,0.82,9,Financial Services,Banks - Regional,NYQ,USD
WST,"West Pharmaceutical Services, Inc.",19946309632,189949520.0,685120,277.25,0.32,0.84,9,Healthcare,Medical Instruments & Supplies,NYQ,USD
EXPD,"Expeditors International of Washington, Inc.",19937050624,196525023.5,1337815,146.9,1.05,1.5,9,Industrials,Integrated Freight & Logistics,NYQ,USD
AMCR,Amcor plc,19667228672,203034973.92,23830396,8.52,6.1,0.513,9,Consumer Cyclical,Packaging & Containers,NYQ,USD
GPC,Genuine Parts Company,18140008448,158675023.20000002,1216833,130.4,3.16,4.09,9,Consumer Cyclical,Auto Parts,NYQ,USD
MKC,"McCormick & Company, Incorporated",18109990912,176381788.24,2613838,67.48,2.85,1.77,9,Consumer Defensive,Packaged Foods,NYQ,USD
PNR,Pentair plc,17252126720,124623945.11999999,1184188,105.24,0.95,0.98,9,Industrials,Specialty Industrial Machinery,NYQ,USD
DD,"DuPont de Nemours, Inc.",16662648832,304649494.68,7660284,39.77,3.6,1.61,9,Basic Materials,Specialty Chemicals,NYQ,USD
ALB,Albemarle Corporation,15299503104,491795846.64000005,3783336,129.99,1.25,1.62,9,Basic Materials,Specialty Chemicals,NYQ,USD
BF-B,Brown-Forman Corporation,13714485248,103120983.0,3558350,28.98,3.14,0.897,9,Consumer Defensive,Beverages - Wineries & Distilleries,NYQ,USD
CLX,The Clorox Company,13166562304,217971877.2,2019380,107.94,4.6,4.92,9,Consumer Defensive,Household & Personal Products,NYQ,USD
HRL,Hormel Foods Corporation,12765463552,106787585.3,4600930,23.21,5.04,1.153,9,Consumer Defensive,Packaged Foods,NYQ,USD
BEN,"Franklin Resources, Inc.",11768725504,100767032.28,4460692,22.59,5.67,1.28,9,Financial Services,Asset Management,NYQ,USD
SJM,The J. M. Smucker Company,11115415552,192466924.28,1847446,104.18,4.22,4.36,9,Consumer Defensive,Packaged Foods,NYQ,USD
SWK,"Stanley Black & Decker, Inc.",11077371904,138742148.64,1939907,71.52,4.64,3.29,9,Industrials,Tools & Accessories,NYQ,USD
AOS,A. O. Smith Corporation,9245750272,79327490.08,1202296,65.98,2.09,1.36,9,Industrials,Specialty Industrial Machinery,NYQ,USD
ZION,"Zions Bancorporation, National Association",7858932736,100076605.16999999,1880079,53.23,3.38,1.74,9,Financial Services,Banks - Regional,NMS,USD
