symbol,entry_date,exit_date,entry_price,exit_price,shares,notional,pnl_gross,slippage,pnl_net,return_pct,hold_days,momentum_at_entry
WST,2020-03-19,2020-04-02,137.2763214111328,153.4403839111328,14277.771868099084,1960000.0,230786.79683669534,438.15735936733904,230348.639477328,11.774836573300785,14,0.3315344293657616
WST,2020-04-02,2020-04-16,153.4403839111328,165.169189453125,15701.150554513959,2409190.5689311177,184155.74163943704,518.669262114111,183637.07237732294,7.64388438234429,14,0.3989948002375372
NEM,2020-04-16,2020-04-30,50.402130126953125,50.04872131347656,15531.166924381521,782803.8963461078,-5488.8512746521055,155.46300901429112,-5644.3142836663965,-0.7011783283492057,14,0.7462764822073005
WST,2020-04-16,2020-04-30,165.169189453125,186.71261596679688,10531.568879705608,1739490.695530731,226886.0802336114,393.2753551528685,226492.80487845853,13.043247705581251,14,0.4763998278708703
BMY,2020-04-16,2020-04-30,48.29153060913086,49.30503463745117,5056.658998635846,244193.80281255994,5124.944264959588,49.86374941550391,5075.080515544084,2.0987200354521063,14,0.3369278445584496
NEM,2020-04-30,2020-05-14,50.04872131347656,56.07340621948242,16190.404789211621,810309.0572476287,97542.08735568823,181.57022892066337,97360.51712676756,12.037640019353702,14,0.989675503250973
WST,2020-04-30,2020-05-14,186.71261596679688,207.51878356933594,9711.85223345682,1813325.3363917018,202066.42530039593,403.07835233841956,201663.3469480575,11.143418185645814,14,0.5762422825605786
TGT,2020-04-30,2020-05-14,94.155517578125,102.90702819824219,3460.5445350986674,325829.361804367,30284.992250304484,71.2228708109343,30213.769379493548,9.294740069646657,14,0.4917355411859472
BMY,2020-04-30,2020-05-14,49.30503463745117,51.705013275146484,5271.2945825340175,259901.36197604844,12650.994391080672,54.51047127342583,12596.483919807246,4.867613734262211,14,0.3485760987592388
NEM,2020-05-14,2020-05-28,56.07340621948242,49.40922546386719,13329.258008024555,747416.89888825,-88828.5847037075,131.71766283690852,-88960.3023665444,-11.884743954255805,14,1.2023106474154668
WST,2020-05-14,2020-05-28,207.51878356933594,203.25692749023438,7193.936236620008,1492876.8968987504,-30659.520882707995,292.4434752032085,-30951.964357911205,-2.0537206347287618,14,0.8149513024124126
TGT,2020-05-14,2020-05-28,102.90702819824219,102.14994049072266,3769.891153784723,387948.29526682827,-2854.1382512170367,77.01883140312225,-2931.1570826201587,-0.7357006812606204,14,0.7267328066085834
AAPL,2020-05-14,2020-05-28,75.06552124023438,77.1777572631836,9539.149500950482,716061.2294773695,20148.93520420567,147.24203293631504,20001.693171269355,2.813856465725939,14,0.640656857175302
CLX,2020-05-14,2020-05-28,174.33724975585938,173.28045654296875,1760.468038795696,306915.1561667332,-1860.450674910161,61.010941098364604,-1921.4616160085257,-0.6061775176392614,14,0.426439142034017
BMY,2020-05-14,2020-05-28,51.705013275146484,48.49422836303711,4339.758421217298,224387.26677996913,-13934.030861044102,42.090647183785,-13976.121508227887,-6.209813533986141,14,0.41270327825863284
NEM,2020-05-28,2020-06-11,49.40922546386719,47.356651306152344,13154.220787560644,649939.8606940724,-27000.01365342238,124.58796940813002,-27124.60162283051,-4.154232612320319,14,0.8846879071311535
AAPL,2020-05-28,2020-06-11,77.1777572631836,81.45800018310547,9413.883247327745,726542.3961662112,40293.70711834573,153.3672206569114,40140.33989768882,5.545954005019649,14,0.815583171817031
