date,equity_before,num_sells,num_buys,turnover,slippage,qualifying_stocks,holdings
2020-03-19,1000048.1778040674,0,1,385100.4753760135,77.0200950752027,1,['WST']
2020-04-02,1045798.0977182139,1,1,859824.1079598517,171.96482159197035,1,['WST']
2020-04-16,1078881.4595553952,1,3,923568.6082026686,184.71372164053372,3,"['NEM', 'WST', 'BMY']"
2020-04-30,1116956.6829206527,3,4,997348.0720417917,199.46961440835835,4,"['NEM', 'WST', 'TGT', 'BMY']"
2020-05-14,1170414.816907772,4,6,1101484.0684878668,220.29681369757336,6,"['NEM', 'WST', 'TGT', 'AAPL', 'CLX', 'BMY']"
2020-05-28,1153882.3298586472,6,6,1066842.833005344,213.36856660106878,6,"['NEM', 'AAPL', 'WST', 'TGT', 'CLX', 'BMY']"
2020-06-11,1152002.366328801,6,4,1062498.878370774,212.49977567415485,4,"['AAPL', 'WST', 'NEM', 'CLX']"
2020-06-25,1194963.1326622437,4,12,1146640.9256828888,229.32818513657773,14,"['AAPL', 'WST', 'NEM', 'MSFT', 'ABBV', 'LLY', 'SPGI', 'CLX', 'TGT', 'LOW', 'FAST', 'BMY']"
2020-07-09,1224426.4617532308,12,12,1203268.2388006723,240.65364776013448,15,"['WST', 'AAPL', 'NEM', 'MSFT', 'CLX', 'SPGI', 'LLY', 'ABBV', 'AMGN', 'FAST', 'TGT', 'LOW']"
2020-07-23,1238936.7556792418,12,12,1230461.0545405627,246.09221090811255,27,"['WST', 'AAPL', 'NEM', 'ABBV', 'LLY', 'AMGN', 'FAST', 'MSFT', 'LOW', 'SPGI', 'CLX', 'BMY']"
2020-08-06,1273129.0354881263,12,12,1296916.5626287402,259.38331252574795,40,"['AAPL', 'WST', 'NEM', 'FAST', 'QCOM', 'MSFT', 'TGT', 'LOW', 'CLX', 'ABBV', 'FCX', 'SPGI']"
2020-08-20,1283872.1240079692,12,12,1316556.886239279,263.3113772478557,42,"['AAPL', 'WST', 'NEM', 'FCX', 'FAST', 'MSFT', 'TGT', 'LOW', 'ABBV', 'QCOM', 'CLX', 'BLK']"
2020-09-03,1285913.8227885175,12,12,1319433.6101674316,263.88672203348636,43,"['AAPL', 'WST', 'NEM', 'FCX', 'MSFT', 'FAST', 'QCOM', 'ALB', 'ABBV', 'LOW', 'UNH', 'BLK']"
2020-09-17,1285317.7791248306,12,12,1317355.969377151,263.47119387543023,48,"['AAPL', 'WST', 'NEM', 'FCX', 'ALB', 'QCOM', 'LOW', 'MSFT', 'TGT', 'APD', 'SPGI', 'FAST']"
2020-10-01,1283932.7928659,12,12,1313670.60196689,262.73412039337796,47,"['AAPL', 'WST', 'FCX', 'NEM', 'QCOM', 'LOW', 'MSFT', 'SPGI', 'TGT', 'UPS', 'FAST', 'UNH']"
2020-10-15,1309294.1273364648,12,12,1362953.5306159793,272.59070612319584,53,"['WST', 'AAPL', 'FCX', 'QCOM', 'NEM', 'LOW', 'MSFT', 'UPS', 'TGT', 'CLX', 'BLK', 'ALB']"
2020-10-29,1282384.5180238262,12,12,1308220.0031677247,261.644000633545,36,"['AAPL', 'WST', 'FCX', 'QCOM', 'NEM', 'ALB', 'LOW', 'TGT', 'MSFT', 'UPS', 'CLX', 'NKE']"
2020-11-12,1326390.2832703928,12,12,1394919.0209409655,278.98380418819306,39,"['WST', 'ALB', 'AAPL', 'FCX', 'NEM', 'QCOM', 'TGT', 'MSFT', 'CLX', 'DE', 'LOW', 'UNH']"
2020-11-27,1351126.5262300428,12,12,1442063.5541436942,288.41271082873874,35,"['ALB', 'FCX', 'WST', 'AAPL', 'QCOM', 'DE', 'NEM', 'BLK', 'TGT', 'UPS', 'NKE', 'MSFT']"
2020-12-11,1354388.3112060106,12,12,1447073.5665045306,289.4147133009061,39,"['ALB', 'FCX', 'AAPL', 'WST', 'QCOM', 'DE', 'UPS', 'NEM', 'BLK', 'NKE', 'MSFT', 'TGT']"
2020-12-28,1387474.8960095528,12,12,1511555.189559388,302.3110379118777,36,"['ALB', 'AAPL', 'FCX', 'WST', 'QCOM', 'DE', 'UPS', 'BLK', 'MSFT', 'AVGO', 'NEM', 'NKE']"
2021-01-11,1444134.4113828964,12,12,1622212.3736740113,324.4424747348023,44,"['ALB', 'FCX', 'WST', 'QCOM', 'DE', 'AAPL', 'TGT', 'AVGO', 'BLK', 'MS', 'NEM', 'NKE']"
2021-01-25,1441501.1560197384,12,12,1615013.2523084302,323.0026504616861,38,"['FCX', 'ALB', 'WST', 'QCOM', 'AAPL', 'DE', 'TGT', 'LLY', 'AVGO', 'LOW', 'UPS', 'NEM']"
2021-02-08,1443252.3857159833,12,12,1617570.6083912407,323.5141216782482,35,"['FCX', 'ALB', 'DE', 'WST', 'QCOM', 'AAPL', 'TGT', 'UPS', 'AVGO', 'CAT', 'LOW', 'AOS']"
2021-02-22,1451205.66461338,12,12,1632417.3919542136,326.4834783908427,37,"['FCX', 'DE', 'ALB', 'TGT', 'QCOM', 'AVGO', 'CAT', 'UPS', 'AAPL', 'WST', 'MS', 'LLY']"
2021-03-08,1412068.843847868,12,12,1553813.4023213792,310.7626804642759,76,"['FCX', 'DE', 'MS', 'SCHW', 'DD', 'CAT', 'FITB', 'GS', 'UPS', 'WST', 'NUE', 'CFG']"
2021-03-22,1437126.0241069715,12,12,1603233.3620815151,320.64667241630303,123,"['FCX', 'DE', 'FITB', 'MPC', 'ALB', 'MS', 'LOW', 'OXY', 'CFG', 'PNR', 'MET', 'RF']"
2021-04-05,1432743.701910127,12,12,1593194.7159388913,318.6389431877783,117,"['FCX', 'ALB', 'FITB', 'CFG', 'DE', 'MPC', 'RF', 'DD', 'LOW', 'MS', 'NUE', 'MET']"
2021-04-19,1455826.4070436114,12,12,1638015.1686355213,327.60303372710433,106,"['FCX', 'DE', 'ALB', 'FITB', 'CFG', 'RF', 'MPC', 'NUE', 'LOW', 'MS', 'HBAN', 'DD']"
2021-05-03,1477867.756301341,12,12,1680230.4483605144,336.04608967210294,115,"['FCX', 'ALB', 'DE', 'FITB', 'UPS', 'CFG', 'RF', 'MS', 'NUE', 'AIG', 'CAT', 'KEY']"
2021-05-17,1540181.6578842867,12,12,1802197.3345622448,360.43946691244895,112,"['FCX', 'DE', 'NUE', 'FITB', 'CFG', 'RF', 'ALB', 'KEY', 'CINF', 'UPS', 'MS', 'GE']"
2021-06-01,1562337.608667174,12,12,1843861.3403835287,368.7722680767058,107,"['FCX', 'NUE', 'DE', 'ALB', 'FITB', 'UPS', 'RF', 'CFG', 'MS', 'CINF', 'GE', 'SCHW']"
2021-06-15,1501795.7163350978,12,12,1722594.0279908767,344.5188055981754,113,"['FCX', 'NUE', 'DE', 'ALB', 'CINF', 'SCHW', 'TGT', 'UPS', 'MS', 'FITB', 'CFG', 'GE']"
2021-06-29,1496056.1283367835,12,12,1711460.871447115,342.292174289423,111,"['FCX', 'NUE', 'DE', 'SCHW', 'ALB', 'FITB', 'TGT', 'CFG', 'MS', 'GS', 'UPS', 'GE']"
2021-07-13,1499093.1452441043,12,12,1716715.9641161328,343.3431928232266,108,"['FCX', 'NUE', 'ALB', 'DE', 'TGT', 'SCHW', 'FITB', 'RF', 'CFG', 'GE', 'PNC', 'UPS']"
2021-07-27,1501506.9704699186,12,12,1720463.9119771337,344.09278239542664,103,"['FCX', 'NUE', 'ALB', 'TGT', 'DE', 'SCHW', 'GE', 'FITB', 'MS', 'RF', 'GS', 'CFG']"
2021-08-10,1571753.99108372,12,12,1858520.835930876,371.70416718617514,105,"['ALB', 'FCX', 'NUE', 'SCHW', 'MS', 'WFC', 'TGT', 'DE', 'GE', 'GS', 'FITB', 'RF']"
2021-08-24,1547419.9362570816,12,12,1807982.1611644358,361.5964322328871,107,"['NUE', 'ALB', 'FCX', 'SCHW', 'MS', 'GS', 'WFC', 'GE', 'FITB', 'AIG', 'RF', 'DE']"
2021-09-07,1546770.0334931216,12,12,1806303.2635350008,361.26065270700025,107,"['ALB', 'NUE', 'FCX', 'OXY', 'MS', 'GE', 'SCHW', 'GS', 'AIG', 'FITB', 'MPC', 'WFC']"
2021-09-21,1484472.5000543054,12,12,1682005.3834776464,336.40107669552924,105,"['ALB', 'OXY', 'NUE', 'MS', 'AIG', 'GS', 'SCHW', 'FCX', 'MPC', 'EOG', 'WFC', 'GE']"
2021-10-05,1570254.9222615496,12,12,1852097.3853963646,370.4194770792728,95,"['OXY', 'EOG', 'ALB', 'MPC', 'COP', 'NUE', 'MS', 'ZION', 'SCHW', 'GE', 'AIG', 'FITB']"
2021-10-19,1595188.700163975,12,12,1898788.8155064103,379.7577631012822,95,"['OXY', 'EOG', 'ALB', 'MPC', 'COP', 'SLB', 'FCX', 'WFC', 'VLO', 'NUE', 'ZION', 'SCHW']"
2021-11-02,1616569.5637444789,12,12,1939649.9558061336,387.9299911612266,103,"['OXY', 'EOG', 'ALB', 'COP', 'WFC', 'GS', 'NUE', 'SLB', 'MS', 'MPC', 'FCX', 'XOM']"
2021-11-16,1609787.0043958863,12,12,1924822.6033346097,384.964520666922,92,"['OXY', 'ALB', 'NUE', 'EOG', 'WFC', 'COP', 'FCX', 'LLY', 'GS', 'XOM', 'MS', 'SCHW']"
2021-11-30,1560288.6025084099,12,12,1826081.701735453,365.2163403470905,80,"['NUE', 'ALB', 'EOG', 'OXY', 'COP', 'WFC', 'LLY', 'FITB', 'GS', 'ZION', 'XOM', 'MPC']"
2021-12-14,1551714.6816843553,12,12,1809108.4855135775,361.8216971027154,87,"['NUE', 'ALB', 'EOG', 'WFC', 'COP', 'FITB', 'ORCL', 'GS', 'SCHW', 'MS', 'WST', 'FCX']"
2021-12-28,1570771.013416388,12,12,1846126.6624159962,369.22533248319917,90,"['NUE', 'EOG', 'COP', 'FCX', 'OXY', 'LLY', 'WST', 'MPC', 'FITB', 'WFC', 'PFE', 'SCHW']"
2022-01-11,1608385.5139768166,12,12,1919238.8709421945,383.84777418843885,87,"['NUE', 'COP', 'EOG', 'WFC', 'MPC', 'FITB', 'PFE', 'XOM', 'SCHW', 'AIG', 'OXY', 'LOW']"
2022-01-25,1584491.9774278398,12,12,1870309.0411756788,374.06180823513574,71,"['COP', 'EOG', 'NUE', 'OXY', 'SLB', 'XOM', 'WFC', 'MPC', 'SCHW', 'CVX', 'FITB', 'AIG']"
2022-02-08,1658826.7837948082,12,12,2016969.0181269327,403.39380362538657,74,"['NUE', 'EOG', 'COP', 'WFC', 'SCHW', 'MPC', 'XOM', 'OXY', 'CVX', 'FITB', 'PRU', 'PFE']"
2022-02-22,1614962.35992875,12,12,1927772.4991759474,385.55449983518946,58,"['NUE', 'COP', 'EOG', 'WFC', 'EXC', 'COST', 'OXY', 'XOM', 'PFE', 'SLB', 'ABBV', 'UNH']"
2022-03-08,1746137.077518474,12,12,2187358.2227979368,437.4716445595873,43,"['NUE', 'OXY', 'COP', 'EOG', 'COST', 'CVX', 'SLB', 'XOM', 'EXC', 'ABBV', 'GD', 'PFE']"
2022-03-22,1801160.6595597747,12,12,2292714.741352678,458.5429482705355,60,"['OXY', 'NUE', 'COP', 'EOG', 'CVX', 'COST', 'ABBV', 'LLY', 'SLB', 'MPC', 'XOM', 'FCX']"
2022-04-05,1793801.9599579093,12,12,2276073.2752522156,455.21465505044307,49,"['OXY', 'COP', 'NUE', 'EOG', 'CVX', 'LLY', 'MPC', 'ABBV', 'COST', 'BRO', 'XOM', 'EXC']"
2022-04-19,1840734.2201518472,12,12,2368250.8718214217,473.65017436428434,48,"['OXY', 'NUE', 'COP', 'EOG', 'MPC', 'CVX', 'SLB', 'XOM', 'VLO', 'COST', 'LLY', 'EXC']"
2022-05-03,1779705.922973747,12,12,2245511.832119216,449.1023664238433,27,"['OXY', 'COP', 'NUE', 'EOG', 'MPC', 'VLO', 'CVX', 'XOM', 'LLY', 'EXC', 'SLB', 'COST']"
2022-05-17,1815827.4643027182,12,12,2317247.8429811057,463.4495685962212,27,"['OXY', 'COP', 'CVX', 'VLO', 'MPC', 'EOG', 'XOM', 'LLY', 'EXC', 'AVGO', 'ABBV', 'PFE']"
2022-05-31,1841660.249220583,12,12,2366789.8427713756,473.3579685542752,26,"['OXY', 'COP', 'EOG', 'CVX', 'MPC', 'XOM', 'VLO', 'LLY', 'EXC', 'ALB', 'PFE', 'ABBV']"
2022-06-14,1744077.548617287,12,12,2172095.662449362,434.4191324898725,14,"['OXY', 'COP', 'VLO', 'MPC', 'EOG', 'CVX', 'XOM', 'LLY', 'EXC', 'PFE', 'ABBV', 'CB']"
2022-06-28,1724449.3893415425,12,12,2134279.3884419473,426.85587768838934,19,"['OXY', 'COP', 'VLO', 'EOG', 'XOM', 'MPC', 'CVX', 'EXC', 'LLY', 'ABBV', 'PFE', 'ED']"
2022-07-12,1673754.9415955213,12,12,2033413.1295172516,406.68262590345034,17,"['OXY', 'VLO', 'MPC', 'XOM', 'COP', 'EXC', 'CVX', 'LLY', 'PFE', 'ABBV', 'ED', 'UNH']"
2022-07-26,1724195.6166196794,12,12,2133288.971662252,426.6577943324504,18,"['OXY', 'VLO', 'MPC', 'COP', 'XOM', 'CVX', 'EOG', 'EXC', 'LLY', 'ED', 'ABBV', 'MTB']"
2022-08-09,1727899.58917866,12,12,2138633.4314613324,427.7266862922664,24,"['OXY', 'COP', 'VLO', 'MPC', 'EOG', 'XOM', 'CVX', 'EXC', 'ED', 'MTB', 'UNH', 'AJG']"
2022-08-23,1822956.089231695,12,12,2325762.403726237,465.15248074524726,29,"['OXY', 'COP', 'VLO', 'EOG', 'MPC', 'XOM', 'CVX', 'SLB', 'PSX', 'MTB', 'CAH', 'ED']"
2022-09-06,1761445.7367423335,12,12,2201210.6920197215,440.24213840394435,21,"['OXY', 'COP', 'EOG', 'VLO', 'XOM', 'MPC', 'CVX', 'CAH', 'ED', 'MTB', 'GPC', 'SRE']"
2022-09-20,1744769.8572532982,12,12,2168419.945406299,433.68398908125977,32,"['OXY', 'COP', 'EOG', 'XOM', 'VLO', 'MPC', 'CVX', 'MTB', 'SLB', 'ABBV', 'ED', 'CAH']"
2022-10-04,1775911.5307365092,12,12,2229411.256654871,445.8822513309742,27,"['OXY', 'MPC', 'COP', 'VLO', 'XOM', 'EOG', 'CVX', 'LLY', 'CAH', 'UNH', 'ABBV', 'GPC']"
2022-10-18,1795323.3390144832,12,12,2266232.337933951,453.24646758679023,19,"['OXY', 'XOM', 'MPC', 'COP', 'VLO', 'CVX', 'CAH', 'EOG', 'LLY', 'ABBV', 'GPC', 'BMY']"
2022-11-01,1891254.1946457927,12,12,2454777.5485807597,490.95550971615194,24,"['OXY', 'MPC', 'COP', 'XOM', 'VLO', 'CVX', 'CAH', 'EOG', 'SLB', 'LMT', 'PSX', 'LLY']"
2022-11-15,1915148.1470546583,12,12,2499188.2380130813,499.8376476026162,22,"['OXY', 'COP', 'VLO', 'MPC', 'XOM', 'EOG', 'SLB', 'CVX', 'CAH', 'PSX', 'LMT', 'AMGN']"
2022-11-29,1872925.4373535626,12,12,2414226.8323011445,482.84536646022883,32,"['OXY', 'VLO', 'MPC', 'XOM', 'COP', 'SLB', 'EOG', 'CAH', 'CVX', 'PSX', 'MRK', 'BMY']"
2022-12-13,1815047.7352470255,12,12,2299478.0742892376,459.8956148578476,32,"['OXY', 'MPC', 'VLO', 'XOM', 'SLB', 'CAH', 'COP', 'EOG', 'MRK', 'CVX', 'PSX', 'LLY']"
2022-12-27,1844479.750674067,12,12,2357996.403833951,471.5992807667901,26,"['OXY', 'MPC', 'XOM', 'SLB', 'VLO', 'COP', 'CAH', 'CVX', 'EOG', 'MRK', 'PSX', 'LMT']"
2023-01-10,1844489.741996447,12,12,2356534.84822929,471.306969645858,24,"['OXY', 'VLO', 'MPC', 'XOM', 'SLB', 'COP', 'CAH', 'CVX', 'MRK', 'EOG', 'LLY', 'NUE']"
2023-01-24,1860045.9557165029,12,12,2386433.559979503,477.2867119959007,28,"['OXY', 'VLO', 'MPC', 'NUE', 'XOM', 'SLB', 'CAH', 'COP', 'CVX', 'LLY', 'EOG', 'MRK']"
2023-02-07,1852069.7500227632,12,12,2369333.2502086097,473.8666500417219,19,"['MPC', 'OXY', 'VLO', 'CAH', 'NUE', 'XOM', 'SLB', 'LLY', 'GILD', 'MRK', 'GPC', 'CVX']"
2023-02-21,1824935.185278197,12,12,2314870.337639549,462.9740675279098,18,"['MPC', 'VLO', 'OXY', 'CAH', 'MRK', 'XOM', 'GILD', 'GPC', 'LLY', 'NUE', 'SLB', 'CAT']"
2023-03-07,1830843.3833512666,12,12,2326102.0294541274,465.22040589082536,20,"['MPC', 'VLO', 'MRK', 'GPC', 'SLB', 'ALB', 'CAH', 'XOM', 'GILD', 'APD', 'CAT', 'LIN']"
2023-03-21,1762090.4086113495,12,12,2188865.3296500556,437.77306593001117,15,"['MPC', 'VLO', 'XOM', 'GILD', 'MRK', 'GPC', 'CAH', 'GE', 'SJM', 'APD', 'CLX', 'LLY']"
2023-04-04,1792707.3376627113,12,11,2249838.768885005,449.96775377700106,11,"['MPC', 'GILD', 'XOM', 'CAH', 'MRK', 'GPC', 'GE', 'LLY', 'ORCL', 'SJM', 'MCD']"
2023-04-18,1826605.9421657692,11,12,2315442.7907740027,463.0885581548005,16,"['MPC', 'GILD', 'GE', 'XOM', 'MRK', 'PSX', 'GPC', 'CAH', 'LLY', 'ORCL', 'ITW', 'APD']"
2023-05-02,1840248.174146959,12,12,2340775.020750829,468.15500415016584,20,"['GE', 'CAH', 'GILD', 'LLY', 'MPC', 'MRK', 'GPC', 'XOM', 'ORCL', 'APD', 'AJG', 'AFL']"
2023-05-16,1844618.0507317833,12,12,2348151.018418704,469.6302036837407,17,"['GE', 'CAH', 'LLY', 'ORCL', 'AJG', 'MRK', 'GILD', 'GPC', 'CTAS', 'MCD', 'APD', 'LIN']"
2023-05-30,1830100.0023897348,12,12,2318417.0622426807,463.6834124485362,17,"['GE', 'AVGO', 'ORCL', 'CAH', 'LLY', 'AJG', 'MSFT', 'CTAS', 'AAPL', 'GILD', 'MRK', 'SJM']"
2023-06-13,1876085.469466812,12,12,2408738.707054798,481.7477414109595,38,"['GE', 'ORCL', 'CAH', 'AVGO', 'LLY', 'AJG', 'GILD', 'AAPL', 'MSFT', 'NUE', 'CTAS', 'MRK']"
2023-06-27,1893770.826643678,12,12,2441935.9903307585,488.38719806615154,47,"['GE', 'CAH', 'AVGO', 'ORCL', 'NUE', 'LLY', 'SLB', 'MPC', 'ITW', 'PNR', 'AAPL', 'DE']"
2023-07-11,1925017.0932923958,12,12,2502539.780466472,500.5079560932943,51,"['GE', 'CAH', 'AVGO', 'SLB', 'ORCL', 'NUE', 'MPC', 'CAT', 'FCX', 'PNR', 'ITW', 'DE']"
2023-07-25,1980830.8492816149,12,12,2611411.3099729754,522.2822619945952,53,"['GE', 'AVGO', 'CAH', 'SLB', 'ORCL', 'FCX', 'MPC', 'CAT', 'NUE', 'DE', 'PNR', 'JPM']"
2023-08-08,1977823.1658618816,12,12,2603341.7923538103,520.6683584707621,40,"['GE', 'LLY', 'SLB', 'AVGO', 'MPC', 'CAT', 'CAH', 'ORCL', 'PNR', 'FCX', 'PSX', 'JPM']"
2023-08-22,1951541.3892854475,12,12,2550357.7667472446,510.0715533494489,27,"['GE', 'LLY', 'AVGO', 'SLB', 'ORCL', 'MPC', 'CAT', 'PNR', 'PSX', 'FCX', 'JPM', 'CAH']"
2023-09-05,1988304.7000447619,12,12,2622752.8141607014,524.5505628321404,46,"['GE', 'LLY', 'AVGO', 'ORCL', 'SLB', 'PNR', 'CAT', 'MPC', 'FCX', 'PSX', 'DD', 'LIN']"
2023-09-19,1985406.1807371345,12,12,2615273.2017963054,523.0546403592613,53,"['GE', 'LLY', 'AVGO', 'ORCL', 'MPC', 'SLB', 'CAT', 'PNR', 'PSX', 'WST', 'VLO', 'DD']"
2023-10-03,1909891.2664459585,12,12,2464812.7246485176,492.96254492970354,58,"['GE', 'AVGO', 'ORCL', 'CAT', 'SLB', 'LLY', 'PNR', 'CMCSA', 'MPC', 'WST', 'PSX', 'DD']"
2023-10-17,1969344.1768361307,12,12,2582998.81109275,516.5997622185499,54,"['AVGO', 'GE', 'LLY', 'ORCL', 'PNR', 'WST', 'CAT', 'CMCSA', 'AOS', 'MPC', 'DD', 'MSFT']"
2023-10-31,1879918.010810113,12,12,2403760.862797566,480.7521725595132,25,"['AVGO', 'GE', 'LLY', 'MSFT', 'WST', 'PNR', 'MPC', 'ORCL', 'CMCSA', 'AOS', 'INTC', 'DD']"
2023-11-14,1979865.151835064,12,12,2601463.0745050935,520.2926149010186,28,"['AVGO', 'LLY', 'GE', 'ORCL', 'MSFT', 'CAH', 'WST', 'PNR', 'AJG', 'INTC', 'BRO', 'AOS']"
