symbol,entry_date,exit_date,entry_price,exit_price,shares,notional,pnl_gross,slippage,pnl_net,return_pct,hold_days,momentum_at_entry
WST,2020-03-19,2020-04-02,137.2763214111328,153.4403839111328,14277.771868099084,1960000.0,230786.79683669534,438.15735936733904,230348.639477328,11.774836573300785,14,0.3315344293657616
WST,2020-04-02,2020-04-16,153.4403839111328,165.169189453125,15711.085647255435,2410715.0133755626,184272.26841024347,518.9974563571612,183753.2709538863,7.64388438234429,14,0.3989948002375372
NEM,2020-04-16,2020-04-30,50.402130126953125,50.04872131347656,18318.84497198189,923308.8080533121,-6474.041265809212,183.3669533575006,-6657.408219166712,-0.7011783283492057,14,0.7462764822073005
WST,2020-04-16,2020-04-30,165.169189453125,186.71261596679688,5590.078943357333,923308.8080533121,120429.45492184322,208.74765259503107,120220.70726924819,13.043247705581251,14,0.4763998278708703
BMY,2020-04-16,2020-04-30,48.29153060913086,49.30503463745117,19119.476985033372,923308.8080533121,19377.666943708828,188.53729499940417,19189.129648709422,2.0987200354521063,14,0.3369278445584496
NEM,2020-04-30,2020-05-14,50.04872131347656,56.07340621948242,15130.433374506969,757258.843312824,91156.09357271943,169.6829873771087,90986.41058534232,12.037640019353702,14,0.989675503250973
WST,2020-04-30,2020-05-14,186.71261596679688,207.51878356933594,4055.7454534699864,757258.843312824,84384.51965813233,168.32867259419126,84216.19098553814,11.143418185645814,14,0.5762422825605786
TGT,2020-04-30,2020-05-14,94.155517578125,102.90702819824219,8042.639059197915,757258.843312824,70385.24114033986,165.52881689063278,70219.71232344923,9.294740069646657,14,0.4917355411859472
BMY,2020-04-30,2020-05-14,49.30503463745117,51.705013275146484,15358.651482167797,757258.843312824,36860.435461010165,158.82385575476684,36701.6116052554,4.867613734262211,14,0.3485760987592388
NEM,2020-05-14,2020-05-28,56.07340621948242,49.40922546386719,10643.22384645871,596801.8142273615,-70928.36753527529,105.17468933841724,-71033.5422246137,-11.884743954255805,14,1.2023106474154668
WST,2020-05-14,2020-05-28,207.51878356933594,203.25692749023438,2875.8929864676984,596801.8142273615,-12256.642007222908,116.90903444402772,-12373.551041666937,-2.0537206347287618,14,0.8149513024124126
TGT,2020-05-14,2020-05-28,102.90702819824219,102.14994049072266,5799.427159412964,596801.8142273615,-4390.675013046468,118.482227842863,-4509.157240889331,-0.7357006812606204,14,0.7267328066085834
AAPL,2020-05-14,2020-05-28,75.06552124023438,77.1777572631836,7950.411911713758,596801.8142273615,16793.146437206364,122.71899213291358,16670.427445073452,2.813856465725939,14,0.640656857175302
CLX,2020-05-14,2020-05-28,174.33724975585938,173.28045654296875,3423.2604624835967,596801.8142273615,-3617.678422709487,118.6368271609304,-3736.3152498704176,-0.6061775176392614,14,0.426439142034017
BMY,2020-05-14,2020-05-28,51.705013275146484,48.49422836303711,11542.436147371256,596801.8142273615,-37060.27983096549,111.94830687927919,-37172.228137844766,-6.209813533986141,14,0.41270327825863284
NEM,2020-05-28,2020-06-11,49.40922546386719,47.356651306152344,11332.514720057452,559930.7748759123,-23260.826856312993,107.33398960391989,-23368.160845916915,-4.154232612320319,14,0.8846879071311535
AAPL,2020-05-28,2020-06-11,77.1777572631836,81.45800018310547,7255.079633455717,559930.7748759123,31053.503234568227,118.19685562209611,30935.30637894613,5.545954005019649,14,0.815583171817031
WST,2020-05-28,2020-06-11,203.25692749023438,201.02734375,2754.793068013953,559930.7748759123,-6142.041832154278,110.75774660875162,-6252.79957876303,-1.096928782583062,14,0.7935477555720316
TGT,2020-05-28,2020-06-11,102.14994049072266,101.78768157958984,5481.459628718685,559930.7748759123,-1985.7075965181016,111.58901345587886,-2097.2966099739806,-0.3546344808352697,14,0.5239885688880208
CLX,2020-05-28,2020-06-11,173.28045654296875,173.25506591796875,3231.3556072439424,559930.7748759123,-82.04613846517822,111.96974574748944,-194.01588421266766,-0.01465290749260717,14,0.426641804943513
BMY,2020-05-28,2020-06-11,48.49422836303711,45.98072814941406,11546.338477316578,559930.7748759123,-29021.724229299223,106.18181012932263,-29127.906039428544,-5.18309146978585,14,0.36147329685594
AAPL,2020-06-11,2020-06-25,81.45800018310547,88.47613525390625,10125.654123601094,824815.5354543605,71063.2083196434,179.1757487548008,70884.0325708886,8.61564862263382,14,0.7503932164465956
WST,2020-06-11,2020-06-25,201.02734375,220.35366821289062,4103.001711449319,824815.5354543607,79295.94234726508,180.82229556032516,79115.12005170475,9.613778952839901,14,0.6748660281649459
NEM,2020-06-11,2020-06-25,47.356651306152344,49.51153564453125,17417.100084253732,824815.5354543607,37531.8361915363,172.46947432917938,37359.36671720712,4.550330901667765,14,0.6027476200235939
CLX,2020-06-11,2020-06-25,173.25506591796875,181.70095825195312,4760.700826173169,824815.5354543607,40208.36661216905,173.00478041330595,40035.36183175574,4.874831387604717,14,0.3398938440575128
AAPL,2020-06-25,2020-07-09,88.47613525390625,92.88248443603516,3526.055196890712,311971.73651284166,15537.030432960768,65.50175338916048,15471.528679571607,4.980268599531046,14,0.847818575487971
WST,2020-06-25,2020-07-09,220.35366821289062,232.7544708251953,1415.777368459489,311971.73651284166,17556.775689234288,65.90570244041518,17490.869986793874,5.6276814962407995,14,0.8429727902694351
NEM,2020-06-25,2020-07-09,49.51153564453125,53.010047912597656,6300.990919624207,311971.73651284166,22044.094033280315,66.80316610922439,21977.29086717109,7.066054854739345,14,0.5530781795011397
MSFT,2020-06-25,2020-07-09,191.26988220214844,204.61697387695312,1631.0552028422667,311971.73651284166,21769.843319002888,66.7483159663689,21703.09500303652,6.978146021284459,14,0.5142632675100232
ABBV,2020-06-25,2020-07-09,77.78935241699219,78.55130004882812,4010.4683587093987,311971.73651284166,3055.7668684715854,63.00550067626265,2992.7613677953227,0.9795011889949912,14,0.5112452529051732
LLY,2020-06-25,2020-07-09,153.0147705078125,156.38775634765625,2038.834130048336,311971.73651284166,6876.958650443188,63.769739032656965,6813.188911410532,2.2043531017625018,14,0.49405564670356417
SPGI,2020-06-25,2020-07-09,313.2660827636719,337.060546875,995.8682209085282,311971.73651284166,23696.150642020162,67.13357743097237,23629.01706458919,7.595608149280131,14,0.46080790618590806
CLX,2020-06-25,2020-07-09,181.70095825195312,194.02745056152344,1716.9515203120193,311971.73651284166,21163.98971103116,66.62714524477455,21097.362565786385,6.783944580236034,14,0.4540447491692907
TGT,2020-06-25,2020-07-09,103.34024047851562,101.69280242919922,3018.879529099803,311971.73651284166,-4973.4170025414105,61.39966390206005,-5034.81666644347,-1.594188325562207,14,0.43456818000324926
LOW,2020-06-25,2020-07-09,119.3166275024414,122.79370880126953,2614.6543280940305,311971.73651284166,9091.36566711577,64.21262043599148,9027.153046679778,2.9141632407913898,14,0.3554357335276588
FAST,2020-06-25,2020-07-09,18.114459991455078,18.736103057861328,17222.24878136055,311971.73651284166,10706.091542856275,64.53556561113959,10641.555977245136,3.431750472823869,14,0.3396189900689388
BMY,2020-06-25,2020-07-09,47.1726188659668,47.47534942626953,6613.407184351113,311971.73651284166,2002.0804624287414,62.794763395054076,1939.2856990336873,0.6417505908732579,14,0.3379319127214453
WST,2020-07-09,2020-07-23,232.7544708251953,258.5328369140625,1443.502517952615,335981.66470089793,37211.13635798409,74.63856021177641,37136.49779777232,11.075347338108665,14,0.9133639980733144
AAPL,2020-07-09,2020-07-23,92.88248443603516,90.0621337890625,3617.276892849227,335981.66470089793,-10201.989225026557,65.15593509517427,-10267.14516012173,-3.036472015253777,14,0.9071054887960248
NEM,2020-07-09,2020-07-23,53.010047912597656,55.578983306884766,6338.07509955208,335981.66470089793,16282.105454889133,70.45275403115741,16211.652700857976,4.84612916879974,14,0.6296061496987877
MSFT,2020-07-09,2020-07-23,204.61697387695312,193.37025451660156,1642.0029010053743,335981.66470089793,-18467.145816490574,63.502903776881475,-18530.648720267454,-5.49647428913439,14,0.5738645893031538
CLX,2020-07-09,2020-07-23,194.02745056152344,192.62403869628906,1731.61923082818,335981.66470089793,-2430.17497461229,66.71029794525712,-2496.885272557547,-0.7233058318154684,14,0.5239457781960697
SPGI,2020-07-09,2020-07-23,337.060546875,332.798583984375,996.7991442958698,335981.66470089793,-4248.320962395752,66.34666874770043,-4314.667631143452,-1.2644502390265155,14,0.5157932181812841
LLY,2020-07-09,2020-07-23,156.38775634765625,151.7557373046875,2148.388547464018,335981.66470089793,-9951.376663549303,65.20605760746973,-10016.582721156772,-2.961880872995959,14,0.48445859810801206
