date,equity_before,num_sells,num_buys,turnover,slippage,qualifying_stocks,holdings
2020-03-23,1000000.0,0,0,0.0,0.0,0,[]
2020-04-06,1000000.0,0,1,1960000.0,392.0,1,['WST']
2020-04-20,1109119.3825039822,1,3,4243273.849349845,848.6547698699692,3,"['NEM', 'WST', 'BMY']"
2020-05-04,1280522.9779645936,3,4,4855082.378861647,971.0164757723295,4,"['NEM', 'WST', 'TGT', 'CLX']"
2020-05-18,1566863.237323123,4,6,5867167.646566741,1173.4335293133481,6,"['NEM', 'WST', 'TGT', 'AAPL', 'CLX', 'BMY']"
2020-06-01,1470652.4427295541,6,6,5857326.679629728,1171.4653359259453,6,"['AAPL', 'WST', 'NEM', 'TGT', 'CLX', 'BMY']"
2020-06-15,1449361.3823972617,6,6,5701962.246724099,1140.39244934482,6,"['AAPL', 'WST', 'NEM', 'MSFT', 'TGT', 'CLX']"
2020-06-29,1582127.3145332194,6,12,6074462.904192386,1214.8925808384772,14,"['AAPL', 'WST', 'NEM', 'LLY', 'MSFT', 'CLX', 'SPGI', 'ABBV', 'TGT', 'LOW', 'FAST', 'BMY']"
2020-07-13,1694161.4208345641,12,12,6533455.975832402,1306.6911951664804,17,"['AAPL', 'WST', 'NEM', 'LLY', 'MSFT', 'AMGN', 'CLX', 'ABBV', 'SPGI', 'FAST', 'TGT', 'BMY']"
2020-07-27,1877651.7969120971,12,12,7184234.08365298,1436.8468167305962,27,"['WST', 'NEM', 'AAPL', 'ABBV', 'LLY', 'FAST', 'AMGN', 'LOW', 'MSFT', 'SPGI', 'TGT', 'CLX']"
2020-08-10,1962567.8725095182,12,12,7611792.682668658,1522.3585365337317,41,"['AAPL', 'WST', 'NEM', 'TGT', 'FAST', 'LOW', 'QCOM', 'MSFT', 'CLX', 'FCX', 'ABBV', 'UPS']"
2020-08-24,2096571.1034534788,12,12,8089926.291227262,1617.9852582454523,51,"['AAPL', 'WST', 'NEM', 'FCX', 'FAST', 'QCOM', 'MSFT', 'LOW', 'ALB', 'ABBV', 'TGT', 'BLK']"
2020-09-08,1965478.1236274806,12,12,7830650.4015834555,1566.1300803166905,39,"['AAPL', 'WST', 'NEM', 'FCX', 'MSFT', 'QCOM', 'ALB', 'ABBV', 'FAST', 'APD', 'CLX', 'LLY']"
2020-09-22,2011944.226366291,12,12,7842219.082320327,1568.4438164640655,43,"['AAPL', 'WST', 'NEM', 'FCX', 'QCOM', 'MSFT', 'LOW', 'CLX', 'TGT', 'ALB', 'FAST', 'UPS']"
2020-10-06,2063259.132261518,12,12,8038750.678077489,1607.750135615498,48,"['WST', 'AAPL', 'FCX', 'NEM', 'QCOM', 'LOW', 'MSFT', 'UPS', 'TGT', 'FAST', 'ALB', 'SPGI']"
2020-10-20,2177884.4303241028,12,12,8427281.183875859,1685.4562367751719,48,"['WST', 'AAPL', 'FCX', 'QCOM', 'NEM', 'LOW', 'MSFT', 'UPS', 'TGT', 'BLK', 'CLX', 'ALB']"
2020-11-03,2140736.594986357,12,12,8427437.836738128,1685.4875673476256,38,"['WST', 'FCX', 'NEM', 'AAPL', 'QCOM', 'LOW', 'CLX', 'TGT', 'ALB', 'MSFT', 'NKE', 'APD']"
2020-11-17,2410323.1407678663,12,12,9189602.927574944,1837.9205855149887,39,"['ALB', 'WST', 'FCX', 'AAPL', 'NEM', 'QCOM', 'DE', 'TGT', 'CLX', 'MSFT', 'CTAS', 'UPS']"
2020-12-01,2497605.023581242,12,12,9706707.685866727,1941.3415371733454,37,"['ALB', 'FCX', 'QCOM', 'AAPL', 'WST', 'NEM', 'DE', 'BLK', 'TGT', 'UPS', 'MSFT', 'NKE']"
2020-12-15,2537808.546339347,12,12,9909674.982892668,1981.9349965785332,40,"['ALB', 'FCX', 'AAPL', 'WST', 'QCOM', 'DE', 'NEM', 'UPS', 'BLK', 'NKE', 'MSFT', 'LLY']"
2020-12-29,2679088.0437247544,12,12,10366213.076460775,2073.2426152921557,36,"['ALB', 'FCX', 'AAPL', 'WST', 'QCOM', 'DE', 'UPS', 'BLK', 'MSFT', 'AVGO', 'NKE', 'FAST']"
2021-01-12,3128890.398807921,12,12,11833146.564663006,2366.6293129326004,43,"['ALB', 'FCX', 'WST', 'DE', 'QCOM', 'TGT', 'AAPL', 'AVGO', 'BLK', 'NEM', 'MS', 'DD']"
2021-01-26,2984319.5914167026,12,12,11837293.119985081,2367.4586239970154,41,"['FCX', 'ALB', 'WST', 'QCOM', 'AAPL', 'DE', 'TGT', 'AVGO', 'LLY', 'LOW', 'UPS', 'MSFT']"
2021-02-09,3074653.381285299,12,12,11965931.013299353,2393.1862026598706,34,"['FCX', 'ALB', 'DE', 'WST', 'AAPL', 'TGT', 'QCOM', 'UPS', 'AVGO', 'CAT', 'LOW', 'AOS']"
2021-02-23,3140903.3178543826,12,12,12248567.282160733,2449.713456432147,47,"['FCX', 'DE', 'ALB', 'CAT', 'AAPL', 'AVGO', 'QCOM', 'UPS', 'TGT', 'WST', 'MS', 'LLY']"
2021-03-09,2928899.364269579,12,12,11684980.743192203,2336.9961486384404,94,"['FCX', 'DE', 'OXY', 'MS', 'DD', 'SCHW', 'CAT', 'FITB', 'RF', 'CFG', 'ALB', 'EOG']"
2021-03-23,2755358.5101868757,12,12,10967704.390636774,2193.5408781273545,128,"['FCX', 'MPC', 'DE', 'FITB', 'MS', 'ALB', 'CFG', 'OXY', 'SWK', 'RF', 'LOW', 'DD']"
2021-04-06,2942516.407846582,12,12,11354739.927476892,2270.947985495379,117,"['FCX', 'FITB', 'ALB', 'MPC', 'DE', 'CFG', 'RF', 'HBAN', 'DD', 'MS', 'LOW', 'AIG']"
2021-04-20,2903555.459174397,12,12,11419461.040683016,2283.8922081366027,108,"['FCX', 'DE', 'ALB', 'FITB', 'CFG', 'RF', 'MPC', 'NUE', 'LOW', 'MS', 'PNR', 'CAT']"
2021-05-04,3298522.448485091,12,12,12550947.97401001,2510.189594802001,114,"['FCX', 'DE', 'ALB', 'FITB', 'UPS', 'CFG', 'RF', 'NUE', 'MS', 'CAT', 'KEY', 'GE']"
2021-05-18,3506190.4610681175,12,12,13544976.708531301,2708.995341706261,107,"['FCX', 'DE', 'NUE', 'ALB', 'FITB', 'CFG', 'RF', 'CINF', 'UPS', 'KEY', 'MS', 'CAT']"
2021-06-01,3674613.1791730495,12,12,14242582.57084392,2848.5165141687844,107,"['FCX', 'NUE', 'DE', 'ALB', 'FITB', 'UPS', 'RF', 'CFG', 'MS', 'CINF', 'GE', 'SCHW']"
2021-06-15,3195009.645357736,12,12,12985165.331338052,2597.0330662676106,113,"['FCX', 'NUE', 'DE', 'ALB', 'CINF', 'SCHW', 'TGT', 'UPS', 'MS', 'FITB', 'CFG', 'GE']"
2021-06-29,3147149.4801746435,12,12,12382779.299851883,2476.5558599703763,111,"['FCX', 'NUE', 'DE', 'SCHW', 'ALB', 'FITB', 'TGT', 'CFG', 'MS', 'GS', 'UPS', 'GE']"
2021-07-13,3163607.145489227,12,12,12385357.006822517,2477.0714013645033,108,"['FCX', 'NUE', 'ALB', 'DE', 'TGT', 'SCHW', 'FITB', 'RF', 'CFG', 'GE', 'PNC', 'UPS']"
2021-07-27,3175043.8940571733,12,12,12435268.000040442,2487.0536000080892,103,"['FCX', 'NUE', 'ALB', 'TGT', 'DE', 'SCHW', 'GE', 'FITB', 'MS', 'RF', 'GS', 'CFG']"
2021-08-10,3677140.556252955,12,12,13932260.360740278,2786.452072148055,105,"['ALB', 'FCX', 'NUE', 'SCHW', 'MS', 'WFC', 'TGT', 'DE', 'GE', 'GS', 'FITB', 'RF']"
2021-08-24,3481553.548697676,12,12,13835711.852946363,2767.142370589272,107,"['NUE', 'ALB', 'FCX', 'SCHW', 'MS', 'GS', 'WFC', 'GE', 'FITB', 'AIG', 'RF', 'DE']"
2021-09-07,3470849.430266386,12,12,13615787.525441546,2723.157505088309,107,"['ALB', 'NUE', 'FCX', 'OXY', 'MS', 'GE', 'SCHW', 'GS', 'AIG', 'FITB', 'MPC', 'WFC']"
2021-09-21,2995285.8610950876,12,12,12198330.155679159,2439.666031135832,105,"['ALB', 'OXY', 'NUE', 'MS', 'AIG', 'GS', 'SCHW', 'FCX', 'MPC', 'EOG', 'WFC', 'GE']"
