date,equity,cash,invested,margin_debt,borrowing_cost,num_positions,pct_invested
2020-03-19,999256.444444445,19256.444444444445,2940000.0000000005,1960000.0,155.55555555555554,1,294.2187679994946
2020-03-20,816933.8093413166,19100.88888888889,2757832.9204524276,1960000.0,155.55555555555554,1,337.5833989140483
2020-03-23,781105.4468703032,18945.333333333336,2722160.1135369698,1960000.0,155.55555555555554,1,348.50097697359473
2020-03-24,918576.0022833967,18789.77777777778,2859786.2245056187,1960000.0,155.55555555555554,1,311.3282099028018
2020-03-25,914833.2480478147,18634.222222222226,2856199.0258255927,1960000.0,155.55555555555554,1,312.209796913318
2020-03-26,1149404.7325846679,18478.66666666667,3090926.0659180013,1960000.0,155.55555555555554,1,268.91537665478654
2020-03-27,1036318.2672494538,18323.111111111117,2977995.156138343,1960000.0,155.55555555555554,1,287.3629897543343
2020-03-30,1262657.527868248,18167.555555555562,3204489.9723126926,1960000.0,155.55555555555554,1,253.78932145780269
2020-03-31,1271789.735242912,18012.000000000007,3213777.735242912,1960000.0,155.55555555555554,1,252.6972538136644
2020-04-01,1219918.323559985,17856.444444444453,3162061.8791155405,1960000.0,155.55555555555554,1,259.2027530079195
2020-04-02,1342380.5264416263,25868.71085439803,3949535.4467616854,2633023.6311744573,208.97012945829024,1,294.2187679994948
2020-04-03,1232321.1177703245,25659.740724939737,3839685.008219842,2633023.6311744573,208.97012945829024,1,311.581531213804
2020-04-06,1484539.6882383102,25450.770595481445,4092112.548817286,2633023.6311744573,208.97012945829024,1,275.6485785619756
2020-04-07,1404163.4517448144,25241.800466023153,4011945.2824532483,2633023.6311744573,208.97012945829024,1,285.71782561837813
2020-04-08,1572661.0702625336,25032.83033656486,4180651.871100426,2633023.6311744573,208.97012945829024,1,265.83298525997884
2020-04-09,1525265.6125098378,24823.86020710657,4133465.3834771886,2633023.6311744573,208.97012945829024,1,270.9997097932035
2020-04-13,1447678.7521252497,24614.890077648277,4056087.4932220588,2633023.6311744573,208.97012945829024,1,280.178698987435
2020-04-14,1630384.8288400723,24405.919948189985,4239002.54006634,2633023.6311744573,208.97012945829024,1,260.0001217554357
2020-04-15,1577406.2985179434,24196.949818731693,4186232.9798736693,2633023.6311744573,208.97012945829024,1,265.38710944712574
2020-04-16,1640535.664828619,31614.390944924293,4826763.821651084,3217842.5477673896,255.38432918788806,3,294.2187679994948
2020-04-17,1675908.4233446969,31359.006615736405,4862391.96449635,3217842.5477673896,255.38432918788806,3,290.1347052598628
2020-04-20,1697508.9966906076,31103.622286548518,4884247.922171448,3217842.5477673896,255.38432918788806,3,287.7303113970867
2020-04-21,1592482.448781617,30848.23795736063,4779476.758591646,3217842.5477673896,255.38432918788806,3,300.1274370243985
2020-04-22,1739936.3128140075,30592.853628172743,4927186.006953225,3217842.5477673896,255.38432918788806,3,283.18197457379705
2020-04-23,2069616.3190796124,30337.469298984855,5257121.397548017,3217842.5477673896,255.38432918788806,3,254.01429961114403
2020-04-24,2241131.6192303207,30082.084969796968,5428892.082027913,3217842.5477673896,255.38432918788806,3,242.2388776921712
2020-04-27,2273385.95104177,29826.70064060908,5461401.79816855,3217842.5477673896,255.38432918788806,3,240.23205543545672
2020-04-28,2184120.3397885906,29571.316311421193,5372391.571244559,3217842.5477673896,255.38432918788806,3,245.97507167414471
2020-04-29,2110924.6283765845,29315.931982233305,5299451.244161741,3217842.5477673896,255.38432918788806,3,251.04881400892586
2020-04-30,2030900.689812725,39137.0268593121,5975290.988860238,3983527.3259068257,316.1529623735576,4,294.2187679994947
2020-05-01,2098616.4509431035,38820.873896938545,6043322.9029529905,3983527.3259068257,316.1529623735576,4,287.9670032242987
2020-05-04,2101985.2006957536,38504.72093456499,6047007.805668014,3983527.3259068257,316.1529623735576,4,287.68079830754584
2020-05-05,2282048.607903985,38188.567972191435,6227387.365838619,3983527.3259068257,316.1529623735576,4,272.88583355629515
2020-05-06,2266661.272275766,37872.41500981788,6212316.183172774,3983527.3259068257,316.1529623735576,4,274.07342504844155
2020-05-07,2335384.8585023615,37556.262047444325,6281355.922361743,3983527.3259068257,316.1529623735576,4,268.9644877799652
2020-05-08,2384939.044251514,37240.10908507077,6331226.261073269,3983527.3259068257,316.1529623735576,4,265.46700538672474
2020-05-11,2563563.9154474433,36923.956122697215,6510167.285231572,3983527.3259068257,316.1529623735576,4,253.94987212929664
